POP,N
AT_Mau_14_01,635954
AT_Mau_14_02,565516
AT_Mau_15_50,29050
AT_Mau_15_51,14018
AT_See_14_44,308020
AT_See_16_1,59143
BY_Bre_15_13,14854
CH_Cha_14_42,9309
CH_Cha_14_43,11005
CH_Cha_15_39,13405
CH_Cha_16_38,12779
CY_Nic_14_11,20028
DE_Bro_14_14,21206
DE_Bro_14_15,16907
DE_Bro_15_53,17895
DE_Bro_15_54,12291
DE_Bro_16_10,20070
DE_Bro_16_11,17139
DE_Mun_14_31,8067
DE_Mun_14_32,11437
DE_Mun_15_45,23751
DE_Mun_15_46,10953
DE_Mun_16_12,20813
DE_Mun_16_13,24713
DK_Kar_14_39,10422
DK_Kar_14_41,10317
DK_Kar_16_2,48020
DK_Kar_16_3,406416
DK_Kar_16_4,18177
ES_Ben_16_32,71461
ES_Cor_15_33,27785
ES_Gim_14_34,12910
ES_Gim_14_35,18870
ES_Gim_15_30,22658
ES_Gim_15_31,24538
ES_Gim_16_33,28775
ES_Gim_16_34,31342
ES_Gua_15_32,14303
ES_Pur_16_35,79310
ES_Tom_15_28,18741
ES_Tom_15_29,21636
ES_Tom_16_36,29444
ES_Tom_16_37,35150
FI_Aka_14_36,55399
FI_Aka_14_37,55816
FI_Aka_15_34,20605
FI_Aka_15_35,22918
FI_Aka_16_5,24992
FI_Aka_16_6,39843
FI_Ves_14_38,26321
FI_Ves_16_7,64410
FR_Got_14_08,31706
FR_Got_15_47,15324
FR_Got_15_48,22418
FR_Got_15_49,40238
FR_Got_16_8,24227
FR_Vil_14_05,29299
FR_Vil_14_07,38721
FR_Vil_15_40,22412
FR_Vil_15_41,34182
FR_Vil_16_9,49778
GS_Des_15_1,35737
GS_Sai_15_2,37074
HU_Sze_16_14,15108
IT_Mez_15_43,73745
IT_Mez_15_44,45564
IT_Tre_16_15,16588
PO_Brz_15_12,14096
PO_Brz_16_17,24759
PO_Gda_16_16,32478
PT_Rec_14_33,58789
PT_Rec_15_16,38481
PT_Rec_16_18,2001641
RS_Kal_16_28,34316
RS_Kal_16_29,1342930
RS_Sla_16_30,15462
RS_Sla_16_31,25670
RU_Ale_15_55,18511
RU_Ale_16_22,29420
RU_Val_14_51,816702
RU_Val_16_19,809472
RU_Val_16_20,25687
RU_Val_16_21,21973
RU_tul_15_37,34043
RU_val_15_36,48637
RU_val_15_38,25409
SE_Lun_14_30,29125
SE_Lun_15_14,60067
SE_Lun_15_15,52670
TR_Yes_14_03,17936
TR_Yes_14_04,19778
TR_Yes_15_3,32131
TR_Yes_15_4,35526
TR_Yes_15_5,43261
TR_Yes_15_6,13099
TR_Yes_15_7,16199
TR_Yes_15_8,11962
TR_Yes_16_39,14682
TR_Yes_16_40,27206
TR_Yes_16_41,8942
TR_Yes_16_42,111325
TR_Yes_16_43,834896
TR_Yes_16_52,33711
UA_Che_14_28,21252
UA_Che_14_29,4314
UA_Che_14_47,13124
UA_Che_14_48,21286
UA_Cho_15_24,19057
UA_Cho_15_25,7973
UA_Cho_15_26,13093
UA_Cho_15_27,30523
UA_Cho_15_65,27184
UA_Cho_15_67,9278
UA_Cho_15_68,2221923
UA_Cho_15_69,11548
UA_Cho_15_70,14112
UA_Cho_16_54,4180
UA_Cho_16_55,9269
UA_Cho_16_62,14424
UA_Dro_14_27,16844
UA_Dro_15_10,25775
UA_Dro_16_56,9239
UA_Kan_16_57,24282
UA_Kha_14_45,31975
UA_Kha_14_46,17461
UA_Kha_15_19,19803
UA_Kha_16_58,15643
UA_Kyi_14_23,16829
UA_Kyi_14_24,28743
UA_Kyi_14_49,25352
UA_Kyi_15_64,64882
UA_Kyi_16_44,42330
UA_Kyi_16_45,64255
UA_Kyi_16_59,24340
UA_Ode_14_19,31437
UA_Ode_14_20,18656
UA_Ode_14_21,20157
UA_Ode_14_22,6427
UA_Ode_15_11,30119
UA_Ode_15_20,780663
UA_Ode_15_22,28604
UA_Ode_15_66,34621
UA_Ode_16_46,27496
UA_Ode_16_47,11833
UA_Pir_14_26,7910
UA_Pir_15_21,5856
UA_Pyr_16_48,29355
UA_Pyr_16_49,15320
UA_Uma_14_50,19479
UA_Uma_15_9,14832
UA_Uma_16_50,659051
UA_Uma_16_51,470925
UA_Var_14_25,19848
UA_Var_15_18,9106
UA_Var_16_60,20424
UA_Yal_14_16,22423
UA_Yal_14_18,77226
UA_Yal_15_23,23420
UA_Yal_15_63,29018
UA_Yal_16_61,28539
UK_Dai_15_52,36910
UK_Dai_16_23,27029
UK_Lut_14_13,33300
UK_Mar_14_12,19966
UK_Mar_15_42,9090
UK_Mar_16_53,8590
UK_She_14_09,355915
UK_She_15_17,364976
UK_Sou_14_10,9391
AT_gr_12_fall,91
AT_gr_12_spring,18768
CA_es_12_fall,9015
CA_es_12_frost,31387
CA_es_12_spring,23057
CA_es_13_fall,23045
CA_es_13_spring,20925
CA_pl_12_fall,21631
CA_pl_12_frost,21873
CA_pl_13_fall,28952
CA_pl_13_frost,23295
CA_st_12_fall,9880
CA_st_12_frost,10208
CA_st_13_fall,29131
CA_tu_12_fall,23727
CA_tu_12_frost,352230
CA_tu_13_fall,302786
CA_tu_13_frost,12343
CA_tu_13_spring,25872
ES_ba_12_fall,9134
ES_ba_12_spring,6425
FL_ho_10_fall,292915
FL_ho_10_spring,28485
GA_at_14_fall,19999
GA_at_14_spring,19747
GA_ha_08_spring,26452
IL_ur_15_spring,9554
KA_to_14_fall,7486
KA_to_14_spring,9447
MA_la_12_fall,7599
MA_la_12_spring,11536
MA_la_14_fall,8803
MA_la_14_spring,7521
ME_bo_09_fall.r1,21429
ME_bo_09_fall.r2,23347
MI_bh_14_fall,17967
MI_bh_14_spring,11500
NC_ra_03_n,7695
NY_it_12_fall,27505
NY_it_12_spring,28841
ON_su_15_fall,317847
ON_su_15_spring,8098
PA_li_09_fall,14359
PA_li_09_spring,17753
PA_li_10_fall,8768
PA_li_10_spring,8045
PA_li_11_fall,20595
PA_li_11_frost,12529
PA_li_11_spring,11455
PA_li_12_fall,11980
PA_li_12_spring,22470
PA_li_12_sum,22223
PA_li_13_spring,11938
PA_li_14_fall,23406
PA_li_14_spring,14910
PA_li_15_fall,32838
PA_li_15_spring,22103
PA_st_14_fall,21002
PA_st_14_spring,19661
PA_st_15_spring,38324
SC_eu_10_spring,133212
UA_od_13_fall,22552
UA_od_13_spring,344973
VA_ch_12_fall,19906
VA_ch_12_spring,17859
VA_ch_14_fall,20810
VA_ch_14_spring,18732
VA_ch_15_fall,15268
VA_ch_15_spring,14838
WA_se_14_spring,46265
WI_cp_12_fall,8837
WI_cp_12_frost,8601
WI_cp_12_spring,4690
WI_cp_13_fall,16484
WI_cp_13_spring,143594
WI_cp_14_fall,42164
WI_cp_14_spring,26345
